,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.025387634889935364,0.011847554161102097,0.0068331324654493306,0.011317818651541795,0.02863531785041728,0.015145290762704062,0.007558206257176205,0.008821798759186837,0.023179112003157955,0.03552811526934094,0.03438660455872463,0.025487032650075316
CR,0.006494886641898947,0.007751120653180475,0.0039798027631901935,0.0027860210011527945,0.003991178312462084,0.00323406993249709,0.006979678536133027,0.008345901814968774,0.006869032947197471,0.009198146102461825,0.006766355315522458,0.015900984492021836
SUBJ,0.004885880059394479,0.00598716587538499,0.004738391938886058,0.00454448099885376,0.00899481447675224,0.011171132000373363,0.01564600094055275,0.018082696352354547,0.02045012493981318,0.023746214116355895,0.023676766081263033,0.00943258102000162
MPQA,0.02173154921122654,0.01022117881364798,0.009654440762283879,0.01174096715445437,0.011138003214573946,0.01336649713583082,0.018653311708822444,0.017356235118350348,0.023825211897023628,0.01896789274149678,0.01725319612402757,0.006600681634326333
SST2,0.013916718435981183,0.008369346515636637,0.014485851144855105,0.01831723071096268,0.026395065106194892,0.02370162513310685,0.02278006796752346,0.020282793147364826,0.01103544804466516,0.03493719125758063,0.010963033285789927,0.01876908705735191
TREC,0.03288915416482777,0.02969500763877885,0.026267865899196705,0.026529255934917156,0.026494956336330876,0.028270671219242524,0.030249073254437417,0.03155267486743677,0.03298665763721377,0.029074563766007998,0.026958026918721553,0.010890237068709384
MRPC,0.017630413246120358,0.013697250941437982,0.014940924882193706,0.00974853491665663,0.005198492810387406,0.00852059630617202,0.016261946606903735,0.02138953334822537,0.031891428678760776,0.031889181717639214,0.041094636210703694,0.019371573648273358
NLI,0.008226957356402687,0.005811427545341118,0.007586965220128382,0.013282900902972655,0.025722665469796905,0.009882421151890877,0.014796144937104036,0.05250225842626002,0.05315554395595963,0.009099418973707134,0.03570413299567881,0.06409204551780984
