Task,Acc (Mean ± Std)
MR,0.8783 ± 0.0020
CR,0.9123 ± 0.0015
SUBJ,0.9539 ± 0.0010
MPQA,0.9031 ± 0.0016
SST2,0.9179 ± 0.0019
TREC,0.9612 ± 0.0032
MRPC,0.7930 ± 0.0006
NLI,0.7288 ± 0.0022
