,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.218456791735262,0.3687676265300645,0.2647723343992176,0.29712743342727194,0.21369428278382502,0.2929909795734128,0.14533689779623846,0.34314716869956774,0.6574576981683131,0.6794521286422966,0.35673662602025424,0.47633743331485373
CR,0.3760795725260949,0.47781150416728346,0.3117203310383173,0.27133814465556766,0.2281461221210347,0.3269009242499543,0.3263521559818076,0.40241238499111437,0.4590664612503813,0.49714724465439214,0.1891933843919179,0.5186554522312815
SUBJ,0.3370136384398502,0.48467881987966255,0.33349216681605154,0.2715715836090963,0.24693809819109863,0.43086337673566477,0.37674217567075713,0.4446624539656772,0.5038499889623343,0.5614002899263039,0.2114747443200564,0.5413893511319234
MPQA,0.4352181092787864,0.5218549539524978,0.317717916977903,0.29828047480391334,0.19871238992548546,0.3536835091110877,0.38252840365010693,0.2558451996615455,0.3811821091208126,0.4451302486348926,0.16953961166570072,0.395671907175613
SST2,0.22401914316526492,0.26552768244234326,0.23861838514635245,0.2173419469500693,0.17347287103174686,0.2619227613279718,0.3084903897053276,0.40354168595784295,0.537393922824797,0.7807950582844825,0.27867129877751273,0.1869930319661008
TREC,0.6618441038316427,0.720094543042348,0.38824973354432907,0.3524757709415637,0.27939328317576895,0.5200474897080645,0.4349487737410036,0.5410377620110084,0.5999912661478431,0.596411908141574,0.2741796151738142,0.5656347239756327
MRPC,0.3223549372125972,0.44186455583947143,0.34291841231214193,0.2592612419608188,0.26507589845741153,0.2718566676875264,0.2966534032317012,0.3545364017748442,0.4492683126864295,0.4526415052748855,0.22947791691979746,0.5809180595563285
NLI,0.10575754795286157,0.20230687216211118,0.2401303524840752,0.2665911494764361,0.1277017767337612,0.19354472502380013,0.32444116749378926,0.17029869535719885,0.4895539660427747,1.0902015058598926,0.9826714399213077,0.6963142710259668
