Task,Acc (Mean ± Std)
MR,0.8781 ± 0.0032
CR,0.9107 ± 0.0051
SUBJ,0.9562 ± 0.0025
MPQA,0.8990 ± 0.0042
SST2,0.9161 ± 0.0034
TREC,0.9612 ± 0.0057
MRPC,0.7918 ± 0.0076
NLI,0.7293 ± 0.0045
