Task,Acc (Mean ± Std)
MR,0.8466 ± 0.0025
CR,0.8917 ± 0.0082
SUBJ,0.9519 ± 0.0016
MPQA,0.8810 ± 0.0019
SST2,0.8915 ± 0.0017
TREC,0.9340 ± 0.0038
MRPC,0.7608 ± 0.0033
NLI,0.6147 ± 0.0023
