,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.011640720502283626,0.02389248296617926,0.028291877806227418,0.032959573445548854,0.02982884788786403,0.014890057221555928,0.039171254142303755,0.04838357784551484,0.029833209988811896,0.024074075309824895,0.013864242129518898,0.012842227043877571
CR,0.008014600714662411,0.010245085036188014,0.011203979214329349,0.019058754471604464,0.036102291866117325,0.05407035648514404,0.06070079425532828,0.05816603037113127,0.05628153572330274,0.05211531244861923,0.049115436159241785,0.046885926015902815
SUBJ,0.004266850357378043,0.009166453874837716,0.004989328943942872,0.0064131237657443834,0.01054548658139857,0.01661796436327803,0.02850800678057103,0.029007238086161385,0.02969419434008609,0.027369102420724857,0.029053406515631784,0.030449023790231927
MPQA,0.020900948758561192,0.017770921550562695,0.011414022741983689,0.011913609894913857,0.013329588189124605,0.025456868615728875,0.030657753534851385,0.022135291348028493,0.018405225324791424,0.017559653154441003,0.01132124479762046,0.013113436498694819
SST2,0.012867461242985346,0.019775741402554253,0.016115213046187273,0.01899307275962908,0.05070162402566165,0.01103032163037823,0.04164054801953037,0.01416146806592546,0.018053336357485083,0.013968747060624124,0.048110403034413315,0.025039683556799135
TREC,0.024750254303755836,0.023877790139723305,0.024824246119611593,0.02467796528254283,0.025635974477581144,0.027069162590504084,0.02663826778039472,0.027791801961408125,0.02770660000151219,0.028003797019369444,0.025570499878164572,0.023452919535677207
MRPC,0.020560277912671916,0.02631700050535947,0.019771458736611614,0.030007596198678047,0.024010881278724222,0.026575196974785064,0.031563448871123646,0.025336047627486404,0.025597380074141588,0.027772352146152153,0.029342752537083513,0.03162950130029714
NLI,0.01637890512757149,0.01732472835396454,0.0123109678156993,0.07477682127629337,0.0581139964886918,0.009534893453455207,0.008833750922092789,0.0340692125457397,0.018051504868434248,0.033484593296756,0.08155012199940882,0.0529003502585461
