Task,Acc (Mean ± Std)
MR,0.8072 ± 0.0054
CR,0.6371 ± 0.0000
SUBJ,0.9273 ± 0.0020
MPQA,0.7153 ± 0.0554
SST2,0.8571 ± 0.0026
TREC,0.5704 ± 0.0877
MRPC,0.6649 ± 0.0000
NLI,0.5556 ± 0.0084
