,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.11030514225257487,0.025449642204522758,0.027630713723257448,0.03147621903174303,0.09375537933258248,0.09621902272140605,0.0980645297398199,0.05862116491363906,0.0849736261556561,0.09266043908773669,0.1129433262937162,0.11416673141899882
CR,0.005395615799374395,0.0038031072897889377,0.004282648118776053,0.004258808953122229,0.0046592906909503845,0.004359750337032872,0.00401272338226541,0.004070135573760605,0.003803760551511724,0.004234098638597948,0.004179575324170398,0.006129273675693178
SUBJ,0.043049381534577644,0.04763850482403209,0.03721376117184894,0.04365428902187919,0.029085154713423246,0.0271107819000035,0.022420680608279488,0.034033524391695776,0.028593310521691295,0.01975327809353972,0.025666829026926786,0.03410430367166645
MPQA,0.24351148171016443,0.07479705439895412,0.04597537657925609,0.007002937927141318,0.1442161534121665,0.09519170289687327,0.09870138119730265,0.052965084041913024,0.05087758695059407,0.05884249318346417,0.2745465713353646,0.3017188644413492
SST2,0.04000714843226193,0.11241647348861383,0.010238321531526855,0.05476430043477481,0.0945596802982775,0.07284652073282495,0.027947824508276143,0.11617841183085854,0.04239125315230137,0.12888712421767023,0.013995893093759312,0.012010415840888765
TREC,0.1480810013821596,0.08573254994439514,0.05365512713943785,0.04353543439384634,0.12800126930885702,0.09624616999877575,0.06120637713588044,0.0591819588551607,0.051215975062613196,0.05753709277010516,0.08995854846584447,0.17080978792268867
MRPC,0.00848041278310315,0.005152594974052683,0.006691645762391196,0.007020966473414591,0.006468236061343312,0.006261690051400258,0.005967169990511196,0.006683041875334295,0.007018553928555264,0.0064366428942948485,0.005820132579131995,0.007154350422938377
NLI,0.03766896626824837,0.053475557353275055,0.034978950609199935,0.09161509065663673,0.04700612082560522,0.05161013049912621,0.12096341243432963,0.1704869161397234,0.05787283469435298,0.04161070355900304,0.08846399601373196,0.022548893375744398
