,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.016533409130810868,0.03245511608802543,0.03811070024450764,0.04431248192636248,0.03924466664705733,0.016409740813502768,0.05271669331933878,0.06823673804881947,0.041055860473624146,0.0329632295163107,0.019711138508261155,0.015859927231105464
CR,0.010119805481448342,0.010537092130826488,0.008413721576976476,0.009383598212141069,0.012633379511095381,0.019296420890550097,0.02305453884776216,0.02209060723700354,0.021632779826292484,0.01943876478839622,0.018747430640507188,0.017508358393108034
SUBJ,0.005114789068012886,0.006521331563707768,0.0040521903343749156,0.010080761664517794,0.017964118112833688,0.02750541014527149,0.046532589210880625,0.044492995447645914,0.04547940894874462,0.04209283792789657,0.04294554352948907,0.041913636084965344
MPQA,0.01565289982889803,0.013319954106353222,0.012022287963530592,0.01027506497152361,0.009772935085872016,0.020247022016507757,0.02397008027163824,0.01622286918293863,0.013093955379283484,0.012590251749428174,0.009689672605586269,0.007158353796536942
SST2,0.016684242932797525,0.02665973702834201,0.006622611471778065,0.02464978854808547,0.06278741964868913,0.009098575932167454,0.046619172976712885,0.026795723912329605,0.020121190823905396,0.012284374724405762,0.0489610966353921,0.026812434299906037
TREC,0.05617745842529721,0.05077000461771542,0.051898489430529576,0.05362041778135865,0.05432316981204084,0.055775323237200775,0.05717434911095358,0.05751264067270033,0.057613722220034844,0.05807521879750573,0.054210167994469434,0.05029076160357949
MRPC,0.023166549166680938,0.026289278009793672,0.01666531763161736,0.019590172961060987,0.019567321532163524,0.025466836599033395,0.03136846965358843,0.024303089093210994,0.02520077929260513,0.02822661352825546,0.029664707259497426,0.03167408628442022
NLI,0.02425367543830149,0.012074191586448506,0.05793753655512017,0.1443355509106751,0.0937788925724597,0.03191386093780813,0.03461410710949595,0.12355716363212993,0.027862787286546363,0.04175899765452621,0.17109024236116369,0.14740110920717964
