Task,Acc (Mean ± Std)
MR,0.8493 ± 0.0036
CR,0.8970 ± 0.0019
SUBJ,0.9529 ± 0.0027
MPQA,0.8811 ± 0.0015
SST2,0.8917 ± 0.0012
TREC,0.9304 ± 0.0064
MRPC,0.7599 ± 0.0032
NLI,0.6143 ± 0.0038
