,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.002842714519234011,0.002806791349960671,0.0026478481467522895,0.002548173726311622,0.003253468444092631,0.0034395251748308843,0.005688562454970796,0.005586535644001862,0.004745843654495345,0.004280062324170823,0.012635566373675786,0.015933004057057165
CR,0.004185217002675135,0.00423260634590885,0.004136255883878317,0.003453722025768242,0.00387728282837456,0.0048310915292783954,0.008069602396024233,0.007256718515926944,0.005036616400061978,0.010070136760338959,0.012278731863128828,0.012405429596216324
SUBJ,0.00453345420451817,0.004552669267464093,0.004372681759806467,0.004093857015877611,0.003604234027477815,0.003596523754932133,0.003565379141280885,0.005027889029445382,0.0011296610020767356,0.005326662086183057,0.012012830140250405,0.015376784901566834
MPQA,0.0029776672400457496,0.003078525872790296,0.0030693490266580693,0.002757482038828603,0.002605352080452189,0.0025823982586032413,0.001934845816104151,0.0010362652432923118,0.003295177445867234,0.004838403872073881,0.008898785028421072,0.002454348097345976
SST2,0.004070207356051284,0.00464037557543319,0.004565497332465501,0.004219632461408502,0.005249680765681949,0.0056281317536007285,0.01018733044511049,0.011398499858907755,0.008653428784812504,0.015076423851263296,0.014159837664403211,0.05982556701416449
TREC,0.0062669781866832594,0.006220705785954494,0.006230827332675984,0.006098100190750893,0.006228616750487258,0.00734720552118127,0.004156533492015822,0.0026645765601409324,0.013547961676718004,0.01401489541251809,0.014016259525083787,0.006251495439176625
MRPC,0.0021259350408349195,0.0023449791807004772,0.0022593264461389746,0.0028045026199371987,0.0028573351923068596,0.003250014218390181,0.003454137856080712,0.0023409119851460036,0.0011801577642777882,0.0008771036188347372,0.0034850945631348497,0.002879774200500542
NLI,0.0019084775472671554,0.0016262988122105722,0.001988823476607382,0.0026527679489689922,0.0028699034850971886,0.0038877234868913524,0.005387261389539965,0.004242236180209178,0.011130163778646089,0.005802959921181325,0.006251346967904285,0.003917343500259084
