Task,Acc (Mean ± Std)
MR,0.8245 ± 0.0020
CR,0.8628 ± 0.0070
SUBJ,0.9456 ± 0.0011
MPQA,0.8742 ± 0.0020
SST2,0.8674 ± 0.0014
TREC,0.8916 ± 0.0105
MRPC,0.7259 ± 0.0017
NLI,0.5722 ± 0.0026
