,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
MR,0.0012886349010400179,0.0015007441670345592,0.0014796433718483263,0.0016424134191378426,0.0016498889325652914,0.0016415321942184831,0.0030827302487942483,0.003276746726143765,0.002569524165947528,0.026139400047153906,0.00834702151140987,0.0025345608722731686
CR,0.005840897062173852,0.00590093167954468,0.006051083502382529,0.006079610121840578,0.00714726648614074,0.010642456159676126,0.004059167101107725,0.01444699166190613,0.013247532366564398,0.02437596360360434,0.0019539359046487122,0.0061553977614574405
SUBJ,0.0029268882749977094,0.002951032876076273,0.002981861397082466,0.0035836360076048355,0.0046701113525078174,0.0052412631232778735,0.002139135666181392,0.009495942980319165,0.001534472463478887,0.014016937006431515,0.0026035703986052048,0.0018618719112095906
MPQA,0.0008287887760841097,0.0038503578498539494,0.004199314934495113,0.0035371010410959495,0.00202445268521967,0.0022255232603891704,0.01230685783898528,0.013861274506082887,0.001586132330067607,0.002039818397079278,0.003979555821474512,0.004896520471035046
SST2,0.003086943335392971,0.000509616868090038,0.0002890843356048443,0.0009200983377161313,0.00050642019734006,0.0018551748614698963,0.00436296132777299,0.007353744123125751,0.006582940663710251,0.01969373052941648,0.0011383006103627752,0.0025776562553735055
TREC,0.006087650777346385,0.006383866752902779,0.006821011811776569,0.00931266002299882,0.0023288206142799356,0.011872448860356925,0.01853287159975175,0.023067321679339874,0.007614297258596246,0.006973992329181306,0.006510938221386567,0.0047832742021893275
MRPC,0.003042436040213772,0.0034652038760402946,0.003756623331387732,0.0038430410581352164,0.00384766563927928,0.0030027315788489764,0.0024304252758922703,0.0011059076319669236,0.0010724155667691591,0.0041847899920281,0.015267212340402424,0.004279258898391495
NLI,0.00124340229955552,0.0012280482886936031,0.0011049691091170753,0.0010715318017420427,0.0010675700312625497,0.0010269883407991968,0.001054903743540671,0.001490451627398608,0.0021977769792881035,0.021110382849405734,0.045204368749108347,0.013579769482212825
