Task,Acc (Mean ± Std)
MR,0.8805 ± 0.0008
CR,0.9020 ± 0.0050
SUBJ,0.9542 ± 0.0006
MPQA,0.9009 ± 0.0017
SST2,0.9179 ± 0.0020
TREC,0.9544 ± 0.0037
MRPC,0.7930 ± 0.0030
NLI,0.7429 ± 0.0031
